feedback_id,feedback_text,source,created_at,customer_id,customer_tier,product_module,product_version,rating,language,feedback_type,category,sentiment,urgency,theme_hint,related_context_id,is_gold_label,label_source
FB-0032,Upgraded to Pro mid-month and got charged the FULL price with no proration. Feels like a bait and switch.,Support ticket,2026-06-28 13:45:00,CUST-1032,Pro,Billing,v2.1.0,,en,Service complaint,Support Experience,Negative,Medium,Confusing billing charges,,False,Synthetic
FB-0033,The pricing page says one thing and my actual invoice says another. Very confusing and honestly feels a bit shady.,Community post,2026-06-29 17:00:00,CUST-1033,Free,Billing,v2.1.0,,en,Service complaint,Support Experience,Negative,Low,Confusing billing charges,,False,Synthetic
FB-0034,Why is there a tax charge on my invoice this month that wasn't there last month? Did something change with your billing setup?,Chat,2026-07-21 10:20:00,CUST-1034,Pro,Billing,v2.5.0,,en,Question,Inquiry,Neutral,Medium,Confusing billing charges,BUG-013,True,Manually verified
FB-0035,Can someone explain what the 'workspace add-on fee' on my bill actually covers? Not seeing this documented anywhere.,Chat,2026-06-29 11:40:00,CUST-1035,Pro,Billing,v2.1.0,,en,Question,Inquiry,Neutral,Low,Confusing billing charges,,False,Synthetic
FB-0036,Billing dashboard shows I was charged twice in May but only one transaction shows up in my bank statement - the numbers don't add up on your end.,Support ticket,2026-06-27 08:50:00,CUST-1036,Pro,Billing,v2.1.0,,en,Bug report,Technical Issue,Negative,Medium,Confusing billing charges,BUG-004,False,Synthetic
FB-0037,Downgraded from Enterprise to Pro last week and I'm still being billed at the Enterprise rate.,Support ticket,2026-06-30 14:35:00,CUST-1037,Pro,Billing,v2.2.0,,en,Bug report,Technical Issue,Negative,Medium,Confusing billing charges,,False,Synthetic
FB-0038,App crashes every single time I try to open a task that has a file attached. Happens on both my phone and tablet.,App review,2026-07-17 09:00:00,CUST-1038,Pro,Mobile App,v2.5.0,1,en,Bug report,Technical Issue,Negative,High,Mobile app crashes,BUG-005,True,Manually verified
FB-0039,Mobile app force closes when opening tasks with attachments larger than a few MB. Started right after the latest app update.,Support ticket,2026-07-18 11:20:00,CUST-1039,Pro,Mobile App,v2.5.0,,en,Bug report,Technical Issue,Negative,High,Mobile app crashes,BUG-005,False,Synthetic
FB-0040,Getting randomly logged out of the mobile app like 4-5 times a day. Really disruptive when I'm trying to check something quickly between meetings.,App review,2026-07-13 08:30:00,CUST-1040,Pro,Mobile App,v2.4.0,2,en,Bug report,Technical Issue,Negative,High,Mobile app crashes,BUG-012,False,Synthetic
FB-0041,"iOS app signs me out constantly, way more than the web version. Wasn't like this a couple months ago.",App review,2026-07-14 19:45:00,CUST-1041,Free,Mobile App,v2.4.0,2,en,Bug report,Technical Issue,Negative,Medium,Mobile app crashes,BUG-012,False,Synthetic
FB-0042,New crash I haven't seen reported: app closes immediately when I try to switch workspaces from the mobile menu.,Support ticket,2026-07-19 10:10:00,CUST-1042,Pro,Mobile App,v2.5.0,,en,Bug report,Technical Issue,Negative,Medium,Mobile app crashes,,False,Synthetic
FB-0043,"android app froze completely trying to upload a photo attachment to a task, had to force close",App review,2026-07-19 13:55:00,CUST-1043,Free,Mobile App,v2.5.0,1,en,Bug report,Technical Issue,Negative,Medium,Mobile app crashes,,False,Synthetic
FB-0044,"crashes on opening any task w attachments, android, super annoying",App review,2026-07-20 09:05:00,CUST-1044,Pro,Mobile App,v2.5.0,1,en,Bug report,Technical Issue,Negative,High,Mobile app crashes,BUG-005,True,Manually verified
FB-0045,The mobile app navigation is confusing after the redesign - took me a while to even find where task attachments show up now.,App review,2026-07-19 12:00:00,CUST-1045,Pro,Mobile App,v2.5.0,3,en,Usability issue,Product Feedback,Mixed,Low,Mobile app crashes,,False,Synthetic
FB-0046,"The mobile app has been unreliable since the rewrite. Constant logouts, occasional crashes. For a paid Pro plan I expect better stability than this.",Support ticket,2026-07-20 16:30:00,CUST-1041,Pro,Mobile App,v2.5.0,,en,Service complaint,Support Experience,Negative,Medium,Mobile app crashes,BUG-012,False,Synthetic
FB-0047,"Please, please add a dark mode option for the dashboard. I work late a lot and the bright white screen is rough on the eyes.",Community post,2026-07-05 21:00:00,CUST-1046,Pro,Dashboard,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,Missing dark mode,FR-001,True,Manually verified
FB-0048,Dark mode when? This has been requested for ages and every competitor already has it.,App review,2026-07-06 10:15:00,CUST-1047,Free,Dashboard,v2.4.0,3,en,Feature request,Product Feedback,Negative,Low,Missing dark mode,FR-001,False,Synthetic
FB-0049,"Would love a dark theme, especially for the reports and task list views specifically.",Survey,2026-07-07 08:40:00,CUST-1048,Pro,Dashboard,v2.4.0,4,en,Feature request,Product Feedback,Positive,Low,Missing dark mode,FR-001,False,Synthetic
FB-0050,dark mode pls my eyes are dying,App review,2026-07-08 22:30:00,CUST-1049,Free,Dashboard,v2.4.0,3,en,Feature request,Product Feedback,Neutral,Low,Missing dark mode,FR-001,True,Manually verified
FB-0051,"Adding a system-based dark/light auto-switch would be a nice touch instead of manual toggling, if dark mode is ever built.",Community post,2026-07-09 14:20:00,CUST-1050,Pro,Dashboard,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,Missing dark mode,FR-001,False,Synthetic
FB-0052,Voting for dark mode too - small thing but it would make a big difference for daily use.,Survey,2026-07-09 09:10:00,CUST-1051,Pro,Dashboard,v2.4.0,4,en,Feature request,Product Feedback,Positive,Low,Missing dark mode,FR-001,False,Synthetic
FB-0053,"The dashboard is way too bright and there's no way to adjust it. Not asking for a full redesign, just something easier on the eyes for long sessions.",Chat,2026-07-10 20:00:00,CUST-1052,Pro,Dashboard,v2.4.0,,en,Usability issue,Product Feedback,Negative,Low,Missing dark mode,FR-001,False,Synthetic
FB-0054,"High contrast white theme is rough for accessibility reasons, some of us are sensitive to bright screens. A dark or muted theme option would help a lot.",Support ticket,2026-07-11 11:50:00,CUST-1053,Enterprise,Dashboard,v2.4.0,,en,Usability issue,Product Feedback,Neutral,Medium,Missing dark mode,FR-001,False,Synthetic
FB-0055,"Slack integration just stopped syncing task updates out of nowhere. Had to disconnect and reconnect to get it working again, and it'll probably break again in a few days.",Support ticket,2026-07-03 09:25:00,CUST-1054,Pro,Integrations,v2.3.0,,en,Bug report,Technical Issue,Negative,High,Integration synchronization failures,BUG-006,False,Synthetic
FB-0056,Our Slack channel hasn't received a task notification in 4 days even though the integration shows as 'connected.',Support ticket,2026-07-04 13:00:00,CUST-1055,Pro,Integrations,v2.3.0,,en,Bug report,Technical Issue,Negative,High,Integration synchronization failures,BUG-006,False,Synthetic
FB-0057,Google Calendar sync is creating duplicate events for the same task every time I edit the due date.,Support ticket,2026-07-19 10:40:00,CUST-1056,Pro,Integrations,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Integration synchronization failures,BUG-011,True,Manually verified
FB-0058,Every task I sync to my calendar shows up twice now. Cleaning up the duplicates manually every week is getting old.,Chat,2026-07-19 15:15:00,CUST-1057,Enterprise,Integrations,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Integration synchronization failures,BUG-011,False,Synthetic
FB-0059,"Jira sync (through the Zapier workaround) dropped several tasks entirely, they just vanished from the Jira board.",Support ticket,2026-07-05 08:20:00,CUST-1058,Enterprise,Integrations,v2.3.0,,en,Bug report,Technical Issue,Negative,High,Integration synchronization failures,,False,Synthetic
FB-0060,"Our Trello import never fully completed, about 30 cards are just missing with no error message.",Support ticket,2026-07-06 12:05:00,CUST-1059,Pro,Integrations,v2.3.0,,en,Bug report,Technical Issue,Negative,Medium,Integration synchronization failures,,False,Synthetic
FB-0061,"Slack sync works but there's now a noticeable delay, like 10-15 minutes, between updating a task and seeing it reflected in the channel.",Chat,2026-07-04 17:10:00,CUST-1060,Pro,Integrations,v2.3.0,,en,Performance issue,Technical Issue,Neutral,Low,Integration synchronization failures,BUG-006,False,Synthetic
FB-0062,Reported the duplicate calendar event bug a month ago and it's still happening. This makes the integration basically unusable for our team's planning.,Support ticket,2026-07-22 09:30:00,CUST-1057,Enterprise,Integrations,v2.4.0,,en,Service complaint,Support Experience,Negative,High,Integration synchronization failures,BUG-011,True,Manually verified
FB-0063,"Exporting a report to CSV silently drops everything past 1000 rows. No warning, no error, I only noticed because the numbers looked wrong.",Support ticket,2026-06-25 10:00:00,CUST-1061,Pro,Reports,v2.1.0,,en,Usability issue,Product Feedback,Negative,Medium,Difficulty exporting reports,BUG-007,True,Manually verified
FB-0064,Report export is missing data - pulled a CSV of all tasks and it cuts off way before the actual total count.,Support ticket,2026-06-25 14:20:00,CUST-1062,Enterprise,Reports,v2.1.0,,en,Bug report,Technical Issue,Negative,Medium,Difficulty exporting reports,BUG-007,False,Synthetic
FB-0065,The export button is buried three menus deep in the reports section. Took me way longer than it should have to find it.,Chat,2026-06-28 11:15:00,CUST-1063,Pro,Reports,v2.2.0,,en,Usability issue,Product Feedback,Neutral,Low,Difficulty exporting reports,,False,Synthetic
FB-0066,"Can we get Excel export with actual formatting (colors, headers) instead of plain CSV? Copy-pasting into a template every week is tedious.",Community post,2026-06-28 09:40:00,CUST-1064,Pro,Reports,v2.2.0,,en,Feature request,Product Feedback,Neutral,Low,Difficulty exporting reports,FR-004,True,Manually verified
FB-0067,Exporting to Excel with charts intact instead of just raw numbers would save me hours every month.,Survey,2026-06-29 16:00:00,CUST-1065,Enterprise,Reports,v2.2.0,4,en,Feature request,Product Feedback,Positive,Low,Difficulty exporting reports,FR-004,False,Synthetic
FB-0068,"Exported report was supposed to have around 2400 rows based on our task count, but the CSV file only has 1000. Something is definitely cutting it off.",Email,2026-06-27 13:35:00,CUST-1066,Enterprise,Reports,v2.2.0,,en,Bug report,Technical Issue,Negative,Medium,Difficulty exporting reports,BUG-007,False,Synthetic
FB-0069,Not obvious that 'export' and 'download report' are two different buttons that do different things. Confused me for a good five minutes.,Chat,2026-06-30 10:50:00,CUST-1067,Pro,Reports,v2.2.0,,en,Usability issue,Product Feedback,Neutral,Low,Difficulty exporting reports,,False,Synthetic
FB-0070,Comments on tasks don't show up for teammates until they manually refresh the page. Feels broken for something that should be real-time.,Support ticket,2026-07-01 09:00:00,CUST-1068,Pro,Task Management,v2.2.0,,en,Bug report,Technical Issue,Negative,Low,,BUG-008,False,Synthetic
FB-0071,A task due 'Friday' shows up as Thursday on my calendar view. I'm in a timezone west of UTC so I think that's related.,Support ticket,2026-07-14 08:15:00,CUST-1069,Pro,Task Management,v2.4.0,,en,Bug report,Technical Issue,Negative,Medium,,BUG-010,False,Synthetic
FB-0072,"Our scheduled weekly report just... stopped sending three weeks ago. No error, no notice, we only noticed because someone asked where it went.",Support ticket,2026-07-22 10:30:00,CUST-1070,Enterprise,Reports,v2.6.0,,en,Bug report,Technical Issue,Negative,High,,BUG-015,False,Synthetic
FB-0073,Duplicating a project copies the tasks but not the custom fields I set up. Have to redo all of them by hand every time.,Chat,2026-06-26 11:00:00,CUST-1071,Pro,Task Management,v2.1.0,,en,Bug report,Technical Issue,Negative,Low,,,True,Manually verified
FB-0074,Task priority flags (Low/Medium/High) reset to default whenever I bulk-move tasks between projects.,Support ticket,2026-06-27 15:40:00,CUST-1072,Pro,Task Management,v2.1.0,,en,Bug report,Technical Issue,Negative,Medium,,,False,Synthetic
FB-0075,Assigning a task to more than one person seems to silently only keep the first assignee. Second person never gets notified.,Support ticket,2026-06-28 09:20:00,CUST-1073,Enterprise,Task Management,v2.2.0,,en,Bug report,Technical Issue,Negative,Medium,,,False,Synthetic
FB-0076,Search is returning tasks from an archived project that I specifically excluded in the filter.,Chat,2026-07-02 13:10:00,CUST-1074,Pro,Dashboard,v2.2.0,,en,Bug report,Technical Issue,Negative,Low,,,False,Synthetic
FB-0077,Subtask completion percentage on the parent task is wildly wrong - shows 40% when all subtasks are actually done.,Support ticket,2026-07-07 10:45:00,CUST-1075,Pro,Task Management,v2.3.0,,en,Bug report,Technical Issue,Negative,Medium,,,False,Synthetic
FB-0078,"File uploads over 20MB fail with no error message, the progress bar just freezes at 90%.",Support ticket,2026-07-11 16:00:00,CUST-1076,Pro,Task Management,v2.4.0,,en,Bug report,Technical Issue,Negative,Medium,,,False,Synthetic
FB-0079,"When I rename a project, all the saved filter views tied to it silently break and show 'no results.'",Chat,2026-07-14 09:35:00,CUST-1077,Pro,Dashboard,v2.4.0,,en,Bug report,Technical Issue,Negative,Low,,,False,Synthetic
FB-0080,Two different team members can edit the same task description at the same time and one person's changes get overwritten with no warning.,Support ticket,2026-07-16 11:25:00,CUST-1078,Enterprise,Task Management,v2.5.0,,en,Bug report,Technical Issue,Negative,High,,,False,Synthetic
FB-0081,"The 'mark all as read' button for notifications doesn't actually mark everything, I still have 12 unread ones after clicking it.",Chat,2026-07-17 14:50:00,CUST-1079,Pro,Notifications,v2.5.0,,en,Bug report,Technical Issue,Negative,Low,,,False,Synthetic
FB-0082,"Recurring weekly meeting task got created 15 times in a row this morning, cluttering the whole project board.",Support ticket,2026-07-18 08:05:00,CUST-1080,Pro,Task Management,v2.5.0,,en,Bug report,Technical Issue,Negative,Medium,,,False,Synthetic
FB-0083,"Time zone shown in task activity logs doesn't match my account's configured timezone, off by exactly 5 hours every time.",Email,2026-07-21 12:15:00,CUST-1081,Pro,Task Management,v2.5.0,,en,Bug report,Technical Issue,Neutral,Low,,,False,Synthetic
FB-0084,Would be great to select a bunch of tasks at once and change their status together instead of clicking into each one individually.,Community post,2026-06-26 10:00:00,CUST-1082,Pro,Task Management,v2.1.0,,en,Feature request,Product Feedback,Neutral,Low,,FR-002,True,Manually verified
FB-0085,Please let us choose a specific time for the daily digest email instead of it just showing up whenever. I'd want mine at 8am specifically.,Community post,2026-06-29 09:30:00,CUST-1083,Pro,Notifications,v2.2.0,,en,Feature request,Product Feedback,Neutral,Low,,FR-003,False,Synthetic
FB-0086,Any timeline on real two-way Jira sync? Right now we're stuck maintaining tasks in both places manually which defeats the purpose.,Community post,2026-07-05 11:00:00,CUST-1084,Enterprise,Integrations,v2.3.0,,en,Feature request,Product Feedback,Neutral,Medium,,FR-006,False,Synthetic
FB-0087,Traveling for work a lot with spotty wifi - an offline mode for the mobile app where changes sync once I'm back online would help a ton.,Survey,2026-07-17 14:40:00,CUST-1085,Pro,Mobile App,v2.5.0,4,en,Feature request,Product Feedback,Positive,Low,,FR-008,False,Synthetic
FB-0088,We have the same five tasks every single sprint. Recurring task templates would save so much setup time.,Community post,2026-07-07 13:20:00,CUST-1086,Pro,Task Management,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,,FR-009,False,Synthetic
FB-0089,The fixed dashboard layout doesn't fit how our team actually works. Let us rearrange or swap out widgets for the ones we care about.,Community post,2026-07-08 15:10:00,CUST-1087,Enterprise,Dashboard,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,,FR-010,False,Synthetic
FB-0090,"Slack comment notifications post as new messages instead of threading under the original task discussion, gets messy fast in busy channels.",Chat,2026-07-08 10:35:00,CUST-1088,Pro,Integrations,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,,FR-011,False,Synthetic
FB-0091,"We bill our clients in EUR but your invoices only generate in USD, causes accounting headaches every month.",Support ticket,2026-07-21 09:50:00,CUST-1089,Enterprise,Billing,v2.5.0,,en,Feature request,Product Feedback,Neutral,Medium,,FR-012,False,Synthetic
FB-0092,A Gantt/timeline view for projects would help a lot with visualizing dependencies across a multi-week rollout.,Community post,2026-06-30 12:00:00,CUST-1090,Enterprise,Task Management,v2.2.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0093,Custom fields on tasks - even just 2-3 free text or dropdown fields - would cover so many workflows this tool currently can't handle.,Community post,2026-07-01 16:30:00,CUST-1091,Enterprise,Task Management,v2.2.0,,en,Feature request,Product Feedback,Neutral,Low,,,True,Manually verified
FB-0094,"Keyboard shortcuts for common actions (new task, assign, mark done) would speed things up a lot for power users.",Community post,2026-07-02 09:10:00,CUST-1092,Pro,Dashboard,v2.3.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0095,Our integration hits the API rate limit constantly during business hours. Could the limit be raised for Enterprise plans?,Support ticket,2026-07-08 11:45:00,CUST-1093,Enterprise,Integrations,v2.3.0,,en,Feature request,Product Feedback,Neutral,Medium,,,False,Synthetic
FB-0096,An audit log showing who changed what and when across the workspace would help a lot with internal compliance reviews.,Email,2026-07-10 10:20:00,CUST-1094,Enterprise,Reports,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0097,"SAML सपोर्ट चाहिए, सिर्फ Okta OAuth नहीं, ताकि हम अपने मौजूदा identity provider का इस्तेमाल करके Enterprise SSO सेट कर सकें।",Email,2026-07-11 09:00:00,CUST-1095,Enterprise,Authentication,v2.4.0,,hi,Feature request,Product Feedback,Neutral,Medium,,,False,Synthetic
FB-0098,"Un time tracking integrato per ogni singolo task, invece di dover usare uno strumento separato, sarebbe davvero utile.",Community post,2026-07-12 14:00:00,CUST-1096,Pro,Task Management,v2.4.0,,it,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0099,Sería genial poder invitar usuarios en bloque subiendo un CSV en lugar de invitar uno por uno.,Community post,2026-07-14 11:30:00,CUST-1097,Enterprise,Authentication,v2.4.0,,es,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0100,SlackやJiraだけでなく、汎用的なWebhookがあれば、公式の統合を待たずに自分たちで自動化を構築できるのですが。,Community post,2026-07-15 09:45:00,CUST-1098,Enterprise,Integrations,v2.4.0,,ja,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0101,Task dependencies (blocking/blocked-by relationships) that actually prevent a task from being marked done until its blockers are resolved.,Community post,2026-07-16 13:15:00,CUST-1099,Pro,Task Management,v2.5.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0102,Would like to customize the columns on my personal task board instead of the default To Do / In Progress / Done setup.,Community post,2026-07-17 10:00:00,CUST-1100,Pro,Task Management,v2.5.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0103,Native video call integration (Zoom or Meet) directly from a task instead of copy-pasting a separate meeting link every time.,Community post,2026-07-18 15:50:00,CUST-1101,Pro,Integrations,v2.5.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0104,A 'watch' or follow option for tasks I'm not assigned to but want updates on would be really useful for managers.,Community post,2026-07-20 09:25:00,CUST-1102,Pro,Task Management,v2.5.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0105,Would love the ability to set working hours per team member so due dates and reminders respect actual availability instead of assuming 24/7.,Community post,2026-07-21 12:40:00,CUST-1103,Enterprise,Task Management,v2.6.0,,en,Feature request,Product Feedback,Neutral,Low,,,False,Synthetic
FB-0106,"Creating a new task takes way too many clicks - modal, then a second modal for assignee, then a third for due date. Could easily be one screen.",Chat,2026-06-27 10:00:00,CUST-1104,Pro,Task Management,v2.1.0,,en,Usability issue,Product Feedback,Negative,Low,,,True,Manually verified
FB-0107,Error messages are so vague. 'Something went wrong' doesn't tell me anything when a save fails.,Support ticket,2026-06-28 11:30:00,CUST-1105,Pro,Dashboard,v2.2.0,,en,Usability issue,Product Feedback,Negative,Medium,,,False,Synthetic
